Date,Volume,Volume_Change,Volume_Label
2021-11-08,74247256679.83217,22584307886.943283,1
2021-11-09,87830965772.48781,13583709092.65564,1
2021-11-10,82515809848.88889,-5315155923.598923,0
2021-11-11,100838867968.0,18323058119.111115,1
2021-11-12,71878085660.44444,-28960782307.555557,0
2021-11-13,65339468068.57143,-6538617591.873016,0
2021-11-14,59249840056.64111,-6089628011.930313,0
2021-11-15,92914188431.21678,33664348374.57567,1
2021-11-16,103183520369.77776,10269331938.560974,1
2021-11-17,96569006904.88889,-6614513464.88887,0
2021-11-18,86652421148.44444,-9916585756.444443,0
2021-11-19,98574108785.77776,11921687637.333313,1
2021-11-20,61671238556.44444,-36902870229.33331,0
2021-11-21,54396801621.333336,-7274436935.111107,0
2021-11-22,64891116995.13287,10494315373.799538,1
2021-11-23,80273621447.11111,15382504451.978241,1
2021-11-24,92075052088.88889,11801430641.777771,1
2021-11-25,85144802119.11111,-6930249969.777771,0
2021-11-26,90868399886.22224,5723597767.11113,1
2021-11-27,85681165966.22223,-5187233920.000015,0
2021-11-28,72397988451.55556,-13283177514.666672,0
2021-11-29,104328491548.44444,31930503096.888885,1
2021-11-30,111719410744.88889,7390919196.444443,1
2021-12-01,127630261276.44444,15910850531.555557,1
2021-12-02,133521653731.55556,5891392455.1111145,1
2021-12-03,114935573504.0,-18586080227.555557,0
2021-12-04,166195006606.22223,51259433102.22223,1
2021-12-05,136894367744.0,-29300638862.22223,0
2021-12-06,165375344014.22223,28480976270.22223,1
2021-12-07,150922018929.77777,-14453325084.444458,0
2021-12-08,128105784092.44444,-22816234837.33333,0
2021-12-09,135905608860.44444,7799824768.0,1
2021-12-10,98359015374.04878,-37546593486.39566,0
2021-12-11,63290674631.11112,-35068340742.93766,0
2021-12-12,46747982705.77778,-16542691925.333344,0
2021-12-13,54139662683.36396,7391679977.586182,1
2021-12-14,67494313141.96516,13354650458.601196,1
2021-12-15,61369380949.333336,-6124932192.631821,0
2021-12-16,70100915925.33333,8731534975.999992,1
2021-12-17,57135221176.888885,-12965694748.444443,0
2021-12-18,58797940995.60564,1662719818.716751,1
2021-12-19,44667184937.17483,-14130756058.430809,0
2021-12-20,51058403683.55556,6391218746.38073,1
2021-12-21,62230469987.55556,11172066304.0,1
2021-12-22,52735526286.22222,-9494943701.333336,0
2021-12-23,48359492622.22222,-4376033664.0,0
2021-12-24,54528629745.77778,6169137123.555557,1
2021-12-25,42058927196.44444,-12469702549.333336,0
2021-12-26,42671826325.333336,612899128.8888931,1
